CO,DV,HR,NO,NO2,NOx,O3,PB,PM10,PM2.5,PP,RS,SO2,TMP,VV
1.9932823516332983,166.38328958476902,37.42874830266607,0.010731471598943984,0.012540788208956022,0.023319339682870466,0.027762814226240523,712.6761546019036,96.62663233126585,28.110677238820863,0.0,325.29787343335397,0.005621610784697873,27.009549803194073,3.0828004563593696
2.185546373822194,143.04279097058594,37.81829400839753,0.017862571347290628,0.015066356653064467,0.03309303035685827,0.027925686128471815,710.1310473028177,105.45296583021073,34.36021246719019,0.0,327.5437282458179,0.005829233416873624,29.415133197234724,2.979440321767183
2.369414230268465,154.72150635287244,49.0582040861602,0.03743047062743433,0.020554395832691367,0.05811654574827002,0.016117983821420653,708.7136198906776,123.03819503005363,41.683773455697235,0.0,200.94896985725902,0.005068522593551704,26.230154376152356,2.57397121527135
2.3852121249823313,174.41790248664793,61.068434531005316,0.04297782299528992,0.018733669303372256,0.06170923752904549,0.012024216407589421,707.897493512766,141.92463421370684,47.86741275887709,0.0,207.17760340190029,0.004277815212235636,23.890686497257484,2.603580913920789
2.39938725464607,184.73647538889622,67.11079071175449,0.043752941366807484,0.015665718957718466,0.05930290133599943,0.012070923087798944,706.573230108609,161.10720421260623,53.86379814352791,0.0,265.33733683470564,0.0037816236446950235,23.79742393133461,2.8262406580536568
2.3963165484461757,186.69305302210245,72.0961966699987,0.04309282228251769,0.01340561685869107,0.056252105639139,0.011999860603314602,705.7049808451703,167.3005999045261,56.39942016066279,0.0,293.7514170880778,0.00353479978015837,24.15016543225075,2.9412273937457467
2.1348450009232893,199.4511074547171,63.335240348305675,0.025165240693955683,0.008290285192202993,0.03184893819440377,0.018344607443844505,707.539695400417,149.75044981975554,47.541718970480375,0.0,377.2819301391993,0.003937603383600037,26.30372346687397,3.362502886778275
1.943024642307126,197.7482311351489,58.003912410401604,0.013027425204709453,0.00736646665369985,0.0200724406662384,0.019614330777453164,710.5099265280755,115.064662103166,33.836323056989706,0.0,309.51093456016076,0.004415886770377738,25.904306320963375,3.312077582546005
1.8754000997866251,216.85168654578484,57.091373496155455,0.012626025724750557,0.008956662889509675,0.021305634488587282,0.015692789662454742,712.8222332775078,105.92124965854454,26.529155312089696,0.0,189.8804556245814,0.004363343723685991,22.71933202405435,3.266426190874431
1.8474417270164871,252.64469919233858,52.233868984419985,0.01599530372824791,0.010117794943062992,0.025112059595528615,0.014367866388113649,714.0358792723666,122.7333727555658,27.22555261044643,0.0,174.54856479448011,0.004142636448317032,20.622280914433976,3.4502821219207354
1.6763145746295358,277.63008171116905,46.182225136629846,0.005915399667114285,0.006464093474676738,0.012004214114499069,0.018220839819829807,716.2135299806747,114.36353766971995,21.030307829240048,0.0,228.45003685411643,0.004338037626452495,20.99616500840612,3.772560193526451
1.6470172204230757,283.9884697277156,42.35715061891803,0.004445474402410001,0.006248227759406946,0.010335148780766402,0.020338645268927837,716.8686973458836,113.6611949325293,20.370177161797614,0.0,259.6965334640896,0.004493819151955278,21.281070677264367,3.8034046504595653
1.5997353233356282,297.3092085283172,38.87955643476509,0.002490763023550533,0.005450729470535093,0.007551943926414801,0.02184724768961534,717.3997459832796,115.98801584998841,19.11702569360898,0.0,272.646883748697,0.004590624977090278,21.57382478149375,3.974561710034084
1.6669499081471804,262.1841657896056,32.37932050917841,0.0018394291566608007,0.006398160897518462,0.008003611437947832,0.02809900240333668,715.7543561082222,105.73548645219589,20.18920886762821,0.0,348.01835631723816,0.005387654268986119,25.73831239041548,3.7634459134919798
1.690647028668201,243.50984631396693,28.5825431321314,0.0015518974537017654,0.007202947550103753,0.008623249154150782,0.03093510801733302,714.8793138539742,93.70329107538956,19.34592033272493,0.0,367.8826309460319,0.0061111467697291255,28.826218537594727,3.548845072944598
1.7151845762142717,232.1416726014595,26.960616812057772,0.0022455054863712593,0.007978615454329166,0.010133288443008294,0.03143554383610686,714.089185962022,87.51989618453794,18.597283694330585,0.0,351.1840695603188,0.006546171782697235,30.831542284111897,3.453136680442193
1.7262070924746145,231.66699947482465,25.82902174328261,0.0028700889852409303,0.008388037659064648,0.011149769180495261,0.030885688163772178,713.6773023504959,88.90783332941939,17.94072397481007,0.0,319.69116703502414,0.0066864978345571625,31.56442116625491,3.5377415567945696
1.7417496911742194,228.7011094609888,24.97182187344196,0.003231843497437591,0.008711417042598018,0.011820762559919176,0.030664751580783446,713.2977335874974,90.69357877799824,17.6163741710702,0.0,296.2874828596458,0.006769683442906221,32.09141597883503,3.628217079985243
1.780391149385168,219.54971675494681,24.034639854628377,0.004318638714053601,0.009910389749108319,0.014120657670028555,0.030171310190877446,713.151005486712,91.73342244473362,17.45510792773545,0.0,263.78343482472866,0.006815817027053313,31.903597436100288,3.6569656822990093
1.872679100290384,182.30202911157497,27.619376554903948,0.007002963006803966,0.012845920924479877,0.019851258989840956,0.027513608968667662,713.0308008343386,76.24481349426657,16.598997508025885,0.0,192.04970757939122,0.0069457271034461445,31.23231064979304,3.241456523985719
1.9184854253984316,156.43111105156262,34.995038743483526,0.007858763727172084,0.0146429094999258,0.022353335366999055,0.023072992212042277,713.4648595790455,62.446981541993196,14.518005110911016,0.0,113.2576831949566,0.006725391648329105,29.15976321700503,2.903413729233375
1.992476109727701,150.97016525937022,35.91835273639894,0.012153726684010649,0.01788730644028236,0.030043403261219084,0.01986759825619644,713.4599194186475,64.38555315436633,15.057545717549395,0.0,61.47930056567306,0.006626497913659424,27.772066042194286,2.797687516666943
